network_name,owner_derived_network_name,clinic_name,enrollment_id,npi,ccn,address,address2,city,county,region_scope,zip,phone,lat,lon,geocode_match,matched_address,geocode_source,source
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH BREWSTER CLINIC,O20230712001869,1861112351,503920,418 W. MAIN ST,,BREWSTER,Okanogan,Eastern WA,98812,5096898900,48.099246372235,-119.78200190188,Match,"418 W MAIN, BREWSTER, WA, 98812",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH CASHMERE CLINIC,O20230712001979,1811617608,503933,303 COTTAGE AVE,,CASHMERE,Chelan,Eastern WA,98815,5091821541,47.521539567571,-120.465231028464,Match,"303 COTTAGE AVE, CASHMERE, WA, 98815",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH E WENATCHEE CLINIC,O20230712002567,1760102438,503931,100 HIGHLINE DR,,E WENATCHEE,Douglas,Eastern WA,98802,5098840614,47.404781437557,-120.281887993608,Match,"100 HIGHLINE DR, E WENATCHEE, WA, 98802",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH EPHRATA CLINIC,O20230712001623,1942920616,503927,314 BASIN ST SW,,EPHRATA,Grant,Eastern WA,98823,5097457186,47.317416970241,-119.553888141722,Match,"314 BASIN ST SW, EPHRATA, WA, 98823",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH MOSES LAKE CLINIC,O20230712001457,1457071235,503934,840 E HILL AVE,,MOSES LAKE,Grant,Eastern WA,98837,5097646400,47.121390498271,-119.265666923962,Match,"840 E HILL AVE, MOSES LAKE, WA, 98837",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH OMAK CLINIC,O20230712002053,1760102545,503935,916 KOALA DR,,OMAK,Okanogan,Eastern WA,98841,5098261800,48.421339016541,-119.505083710363,Match,"916 KOALA DR, OMAK, WA, 98841",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH OROVILLE CLINIC,O20230712001321,1134849920,503936,1617 MAIN ST,,OROVILLE,Okanogan,Eastern WA,98844,5094763631,48.940347037899,-119.434293160793,Match,"1617 MAIN ST, OROVILLE, WA, 98844",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH ROYAL CITY CLINIC,O20230807003948,1932829488,503854,103 CAMELIA ST NW,,ROYAL CITY,Grant,Eastern WA,99357,5093461447,46.900181488156,-119.634960515701,Match,"103 CAMELIA ST, ROYAL CITY, WA, 99357",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH TONASKET CLINIC,O20230712001048,1386364172,503932,17 S WESTERN AVE,,TONASKET,Okanogan,Eastern WA,98855,5094862174,48.708019001602,-119.438404389825,Match,"17 WESTERN AVE, TONASKET, WA, 98855",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH WATERVILLE CLINIC,O20230712001730,1306566070,503937,117 S CHELAN AVE,,WATERVILLE,Douglas,Eastern WA,98858,5097458461,47.646785017498,-120.071339427545,Match,"117 S CHELAN AVE, WATERVILLE, WA, 98858",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH WENATCHEE CLINIC,O20230712001556,1386364842,503938,820 N CHELAN AVE,,WENATCHEE,Chelan,Eastern WA,98801,5096638711,47.433898309001,-120.32233735567,Match,"820 N CHELAN AVE, WENATCHEE, WA, 98801",Census geocoder,CMS RHC Enrollments 2026-04-01
CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO 2,CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO 2,EXPRESS CARE LAKE CHELAN HEALTH,O20140710001062,1124438312,508567,219 E JOHNSON AVE,,CHELAN,Chelan,Eastern WA,98816,5096822511,47.8410210,-120.0153318,No_Match,,Nominatim address fallback,CMS RHC Enrollments 2026-04-01
CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,CASCADE MEDICAL CENTER,O20080206000602,1437141215,503992,817 COMMERCIAL STREET,,LEAVENWORTH,Chelan,Eastern WA,98826,5095483420,47.596627967996,-120.656258130503,Match,"817 COMMERCIAL ST, LEAVENWORTH, WA, 98826",Census geocoder,CMS RHC Enrollments 2026-04-01
CHEWELAH ASSOCIATED PHYSICIANS PS,CHEWELAH ASSOCIATED PHYSICIANS PS,CHEWELAH ASSOCIATED PHYSICIANS,O20090513000593,1104971365,503868,410 E KING ST,,CHEWELAH,Stevens,Eastern WA,99109,5099358711,48.275171544922,-117.712337651518,Match,"410 E KING AVE, CHEWELAH, WA, 99109",Census geocoder,CMS RHC Enrollments 2026-04-01
CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,BOGACHIEL CLINIC,O20090522000376,1285683052,508520,390 FOUNDERS WAY,,FORKS,Clallam,Western/other WA,98331,3603746998,47.9468936,-124.3943023,No_Match,,Nominatim address fallback,CMS RHC Enrollments 2026-04-01
CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,CLALLAM BAY MEDICAL CLINIC,O20090323000125,1235213034,503975,74 BOGACHIEL ST,,CLALLAM BAY,Clallam,Western/other WA,98326,3609632202,48.252514856415,-124.26173931565,Match,"74 BOGACHIEL ST, CLALLAM BAY, WA, 98326",Census geocoder,CMS RHC Enrollments 2026-04-01
CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,FORKS FAMILY MEDICAL CLINIC,O20190624000999,1285290338,508591,461 G ST,,FORKS,Clallam,Western/other WA,98331,3603743280,47.944221891283,-124.391069093741,Match,"461 G ST, FORKS, WA, 98331",Census geocoder,CMS RHC Enrollments 2026-04-01
COLUMBIA COUNTY HOSPITAL DISTRICT,COLUMBIA COUNTY HOSPITAL DISTRICT,COLUMBIA FAMILY CLINIC,O20101007000021,1518044551,503977,1012 S 3RD ST,,DAYTON,Columbia,Eastern WA,99328,5093823200,46.312719228046,-117.969128064361,Match,"1012 S 3RD ST, DAYTON, WA, 99328",Census geocoder,CMS RHC Enrollments 2026-04-01
COLUMBIA COUNTY HOSPITAL DISTRICT,COLUMBIA COUNTY HOSPITAL DISTRICT,WAITSBURG CLINIC,O20101007000177,1215018346,503978,235 MAIN STREET,,WAITSBURG,Walla Walla,Eastern WA,99361,5093376311,46.269763908039,-118.154855235711,Match,"235 MAIN ST, WAITSBURG, WA, 99361",Census geocoder,CMS RHC Enrollments 2026-04-01
DEREK S WEAVER DO PLLC,DEREK S WEAVER DO PLLC,WEAVER FAMILY MEDICINE,O20160229003053,1982081485,503923,2935 ALLEN RD,,SUNNYSIDE,Yakima,Eastern WA,98944,5098370070,46.309570583551,-119.982097973564,Match,"2935 ALLEN RD, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
"DOUGLAS, GRANT, LINCOLN & OKANOGAN COUNTIES PUBLIC HOSPITAL DISTRICT 6","DOUGLAS, GRANT, LINCOLN & OKANOGAN COUNTIES PUBLIC HOSPITAL DISTRICT 6",COULEE FAMILY MEDICINE,O20050713000325,1457420218,503981,411 FORTUYN RD,,GRAND COULEE,Grant,Eastern WA,99133,5096331911,47.942315706024,-119.005646925644,Match,"411 FORTUYN RD, GRAND COULEE, WA, 99133",Census geocoder,CMS RHC Enrollments 2026-04-01
"DOUGLAS, GRANT, LINCOLN & OKANOGAN COUNTIES PUBLIC HOSPITAL DISTRICT 6","DOUGLAS, GRANT, LINCOLN & OKANOGAN COUNTIES PUBLIC HOSPITAL DISTRICT 6",COULEE MEDICAL CENTER,O20030717000035,1720169048,508535,218 W MAIN ST,,COULEE CITY,Grant,Eastern WA,99155,5096336229,47.611194348839,-119.290516611065,Match,"218 W MAIN ST, COULEE CITY, WA, 99115",Census geocoder,CMS RHC Enrollments 2026-04-01
"FAMILY CARE NETWORK, PLLC","FAMILY CARE NETWORK, PLLC",FAMILY CARE NETWORK BIRCH BAY FAMILY MEDICINE,O20051208000962,1013049766,503905,8097 HARBORVIEW RD,,BLAINE,Whatcom,Western/other WA,98230,3603715855,48.935894547853,-122.748354456061,Match,"8097 HARBORVIEW RD, BLAINE, WA, 98230",Census geocoder,CMS RHC Enrollments 2026-04-01
"FAMILY CARE NETWORK, PLLC","FAMILY CARE NETWORK, PLLC",FAMILY CARE NETWORK FERNDALE FAMILY MEDICAL CENTER,O20051207000836,1841322591,503903,5580 NORDIC PL,,FERNDALE,Whatcom,Western/other WA,98248,3603841511,48.843762249516,-122.57693894926,Match,"5580 NORDIC WAY, FERNDALE, WA, 98248",Census geocoder,CMS RHC Enrollments 2026-04-01
"FAMILY CARE NETWORK, PLLC","FAMILY CARE NETWORK, PLLC",FAMILY CARE NETWORK ISLAND FAMILY PHYSICIANS,O20150108001892,1518014281,503863,2511 M AVE,SUITE A,ANACORTES,Skagit,Western/other WA,98221,3602939813,48.501969102788,-122.6173663464,Match,"2511 M AVE, ANACORTES, WA, 98221",Census geocoder,CMS RHC Enrollments 2026-04-01
"FAMILY CARE NETWORK, PLLC","FAMILY CARE NETWORK, PLLC",FAMILY CARE NETWORK LYNDEN FAMILY MEDICINE,O20051206000858,1669504312,503902,1610 GROVER STREET,SUITE D1,LYNDEN,Whatcom,Western/other WA,98264,3603541333,48.940694254206,-122.468061493791,Match,"1610 GROVER ST, LYNDEN, WA, 98264",Census geocoder,CMS RHC Enrollments 2026-04-01
FERRY COUNTY PUBLIC HOSPITAL DISTRICT NO 1,FERRY COUNTY PUBLIC HOSPITAL DISTRICT NO 1,CURLEW MEDICAL CLINIC,O20081027000299,1205988219,508533,9 KETTLE RIVER CT,,CURLEW,Ferry,Eastern WA,99118,5097794049,48.883412479378,-118.605782711449,Match,"9 KETTLE RIVER CT, CURLEW, WA, 99118",Census geocoder,CMS RHC Enrollments 2026-04-01
FERRY COUNTY PUBLIC HOSPITAL DISTRICT NO 1,FERRY COUNTY PUBLIC HOSPITAL DISTRICT NO 1,REPUBLIC MEDICAL CLINIC,O20070920000639,1184776916,508522,10 ROS CIR,,REPUBLIC,Ferry,Eastern WA,99166,5097753153,48.6482183,-118.7378060,No_Match,,Nominatim city fallback; exact 10 ROS CIR not found,CMS RHC Enrollments 2026-04-01
GARFIELD COUNTY MEMORIAL HOSPITAL DISTRICT,GARFIELD COUNTY MEMORIAL HOSPITAL DISTRICT,POMEROY MEDICAL CLINIC,O20060505000211,1114028693,503982,446 PATAHA ST,,POMEROY,Garfield,Eastern WA,99347,5098431491,46.473093649968,-117.605518314245,Match,"446 PATAHA ST, POMEROY, WA, 99347",Census geocoder,CMS RHC Enrollments 2026-04-01
GRANT COUNTY HOSPITAL DISTRICT NO. 2,GRANT COUNTY HOSPITAL DISTRICT NO. 2,QUINCY VALLEY MEDICAL CENTER,O20110513000133,1407920218,503976,908 10TH AVE SW,,QUINCY,Grant,Eastern WA,98848,5097873531,47.231108582059,-119.869098597944,Match,"908 10TH AVE SW, QUINCY, WA, 98848",Census geocoder,CMS RHC Enrollments 2026-04-01
GRANT COUNTY PUBLIC HOSPITAL DISTRICT 1,GRANT COUNTY PUBLIC HOSPITAL DISTRICT 1,SAMARITAN CLINIC,O20040407001158,1619086766,508536,1550 S PIONEER WAY,STE 115,MOSES LAKE,Grant,Eastern WA,98837,50979397154625,47.112738239917,-119.259743134431,Match,"1550 S PIONEER WAY, MOSES LAKE, WA, 98837",Census geocoder,CMS RHC Enrollments 2026-04-01
GRANT COUNTY PUBLIC HOSPITAL DISTRICT 1,GRANT COUNTY PUBLIC HOSPITAL DISTRICT 1,SAMARITAN CLINIC ON PATTON,O20190926001711,1609112739,508592,8420 ASPI BLVD,,MOSES LAKE,Grant,Eastern WA,98837,50979397154625,47.161990555286,-119.312516214467,Match,"8420 ASPI BLVD, MOSES LAKE, WA, 98837",Census geocoder,CMS RHC Enrollments 2026-04-01
GRANT COUNTY PUBLIC HOSPITAL DISTRICT NO. 3,GRANT COUNTY PUBLIC HOSPITAL DISTRICT NO. 3,COLUMBIA BASIN FAMILY MEDICINE CLINIC,O20080904000111,1457414799,503985,220 NAT WASHINGTON WAY,,EPHRATA,Grant,Eastern WA,98823,5097543330,47.315315600206,-119.547108575273,Match,"220 NAT WASHINGTON WAY, EPHRATA, WA, 98823",Census geocoder,CMS RHC Enrollments 2026-04-01
GRAYS HARBOR COMMUNITY HOSPITAL,GRAYS HARBOR COMMUNITY HOSPITAL,GHCH ABERDEEN EAST CLINIC,O20180322000911,1821573965,508576,1006 N H ST,,ABERDEEN,Grays Harbor,Western/other WA,98520,3605376496,46.980687710346,-123.821125506862,Match,"1006 N H ST, ABERDEEN, WA, 98520",Census geocoder,CMS RHC Enrollments 2026-04-01
GRAYS HARBOR COMMUNITY HOSPITAL,GRAYS HARBOR COMMUNITY HOSPITAL,GHCH MONTESANO CLINIC,O20180322001143,1083084677,508575,319 E PIONEER AVE,,MONTESANO,Grays Harbor,Western/other WA,98563,3602493300,46.979450852569,-123.598124773585,Match,"319 PIONEER AVE E, MONTESANO, WA, 98563",Census geocoder,CMS RHC Enrollments 2026-04-01
GRAYS HARBOR COMMUNITY HOSPITAL,GRAYS HARBOR COMMUNITY HOSPITAL,THE HOQUIAM CLINIC,O20180321002530,1376028373,508577,815 K ST,,HOQUIAM,Grays Harbor,Western/other WA,98550,3605376430,46.975743278976,-123.885563191071,Match,"815 K ST, HOQUIAM, WA, 98550",Census geocoder,CMS RHC Enrollments 2026-04-01
GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,ELMA FAMILY MEDICINE,O20101105000276,1811025216,508556,575 E MAIN ST BLDG 2,,ELMA,Grays Harbor,Western/other WA,98541,3604823711,47.004815053433,-123.397391717004,Match,"575 E MAIN ST, ELMA, WA, 98541",Census geocoder,CMS RHC Enrollments 2026-04-01
GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,MCCLEARY HEALTHCARE CLINIC,O20100802000472,1255401683,503998,105 W SIMPSON AVE,,MCCLEARY,Grays Harbor,Western/other WA,98557,3603462222,47.055588615058,-123.265246687467,Match,"105 W SIMPSON AVE, MCCLEARY, WA, 98557",Census geocoder,CMS RHC Enrollments 2026-04-01
GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,SUMMIT PACIFIC HEALTH CLINIC,O20210316001628,1083202907,508596,579 E MAIN ST,,ELMA,Grays Harbor,Western/other WA,98541,3603462222,47.004821015365,-123.397329447872,Match,"579 E MAIN ST, ELMA, WA, 98541",Census geocoder,CMS RHC Enrollments 2026-04-01
GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,SUMMIT PACIFIC HEALTHCARE CLINIC,O20130215000030,1942554183,508560,600 E MAIN ST,,ELMA,Grays Harbor,Western/other WA,98541,3603462222,47.006395785475,-123.391370877966,Match,"600 E MAIN ST, ELMA, WA, 98541",Census geocoder,CMS RHC Enrollments 2026-04-01
JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON HEALTHCARE EXPRESS CLINIC,O20180119000676,1013421114,508574,1274 7TH ST,STE A,PORT TOWNSEND,Jefferson,Western/other WA,98368,3603852204,48.10498870451,-122.791100328769,Match,"1274 7TH ST, PORT TOWNSEND, WA, 98368",Census geocoder,CMS RHC Enrollments 2026-04-01
JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON HEALTHCARE PORT LUDLOW CLINIC,O20170818002250,1801188073,508572,89 BREAKER LN,,PORT LUDLOW,Jefferson,Western/other WA,98365,3604375067,47.920201166901,-122.703737793295,Match,"89 BREAKER LN, PORT LUDLOW, WA, 98365",Census geocoder,CMS RHC Enrollments 2026-04-01
JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON HEALTHCARE SHERIDAN CLINIC,O20080514000767,1902850753,508526,915 SHERIDAN ST,,PORT TOWNSEND,Jefferson,Western/other WA,98368,3603798031,48.10657637247,-122.790411565692,Match,"915 SHERIDAN ST, PORT TOWNSEND, WA, 98368",Census geocoder,CMS RHC Enrollments 2026-04-01
JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON HEALTHCARE TOWNSEND CLINIC,O20080514000621,1952353369,508524,934 SHERIDAN ST,,PORT TOWNSEND,Jefferson,Western/other WA,98368,3603855388,48.106686295057,-122.790241476467,Match,"934 SHERIDAN ST, PORT TOWNSEND, WA, 98368",Census geocoder,CMS RHC Enrollments 2026-04-01
JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON HEALTHCARE WATERSHIP CLINIC,O20100825000119,1760433049,508525,1010 SHERIDAN ST,STE 101,PORT TOWNSEND,Jefferson,Western/other WA,98368,3603853500,48.107683668104,-122.790254153399,Match,"1010 SHERIDAN ST, PORT TOWNSEND, WA, 98368",Census geocoder,CMS RHC Enrollments 2026-04-01
JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,SOUTH COUNTY MEDICAL CLINIC,O20100927000358,1780897074,503997,294843 US HIGHWAY 101,,QUILCENE,Jefferson,Western/other WA,98376,3607653111,47.821370154858,-122.877545018622,Match,"294843 US HWY 101, QUILCENE, WA, 98376",Census geocoder,CMS RHC Enrollments 2026-04-01
KITTITAS COUNTY PUBLIC HOSPITAL DIST 1,KITTITAS COUNTY PUBLIC HOSPITAL DIST 1,KITTITAS VALLEY HEALTHCARE FAMILY MEDICINE CLE ELUM,O20050831000802,1194747774,508541,201 ALPHA WAY,,CLE ELUM,Kittitas,Eastern WA,98922,5096745331,47.1952550,-120.9501358,No_Match,,Nominatim address fallback,CMS RHC Enrollments 2026-04-01
KITTITAS COUNTY PUBLIC HOSPITAL DIST 1,KITTITAS COUNTY PUBLIC HOSPITAL DIST 1,KITTITAS VALLEY HEALTHCARE INTERNAL MEDICINE,O20070912000895,1932115391,508545,700 E MANITOBA AVE,,ELLENSBURG,Kittitas,Eastern WA,98926,5099627398,46.988378929075,-120.538629552745,Match,"700 E MANITOBA AVE, ELLENSBURG, WA, 98926",Census geocoder,CMS RHC Enrollments 2026-04-01
KITTITAS COUNTY PUBLIC HOSPITAL DIST 1,KITTITAS COUNTY PUBLIC HOSPITAL DIST 1,MEDICAL ARTS CENTER CLINIC,O20100819000779,1770711764,508553,100 E JACKSON AVE,,ELLENSBURG,Kittitas,Eastern WA,98926,5099338777,46.986027406596,-120.546740665083,Match,"100 E JACKSON AVE, ELLENSBURG, WA, 98926",Census geocoder,CMS RHC Enrollments 2026-04-01
KLICKITAT COUNTY PUBLIC HOSPITAL DISTRICT NO 1,KLICKITAT COUNTY PUBLIC HOSPITAL DISTRICT NO 1,KVH FAMILY MEDICINE,O20040224000581,1407952369,508519,317 SANDERS WAY,,GOLDENDALE,Klickitat,Eastern WA,98620,5097734017,45.820523227949,-120.809758482129,Match,"317 SANDERS WAY, GOLDENDALE, WA, 98620",Census geocoder,CMS RHC Enrollments 2026-04-01
L G STECK MEMORIAL CLINIC P S,L G STECK MEMORIAL CLINIC P S,STECK MEDICAL GROUP,O20051209000401,1710929252,503901,1299 BISHOP ROAD,,CHEHALIS,Lewis,Western/other WA,98532,3607480211,46.639886549855,-122.941670284027,Match,"1299 BISHOP RD, CHEHALIS, WA, 98532",Census geocoder,CMS RHC Enrollments 2026-04-01
LEWIS COUNTY HOSPITAL DISTRICT NO 1,LEWIS COUNTY HOSPITAL DISTRICT NO 1,ARBOR HEALTH MORTON CLINIC,O20200428002444,1952415432,508590,521 ADAMS AVE,STE B,MORTON,Lewis,Western/other WA,98356,3604965145,46.555881200564,-122.279853589253,Match,"521 ADAMS AVE, MORTON, WA, 98356",Census geocoder,CMS RHC Enrollments 2026-04-01
LEWIS COUNTY HOSPITAL DISTRICT NO 1,LEWIS COUNTY HOSPITAL DISTRICT NO 1,ARBOR HEALTH MOSSYROCK CLINIC,O20120126000601,1205110830,508557,745 WILLIAMS ST,,MOSSYROCK,Lewis,Western/other WA,98564,3609838990,46.533623999549,-122.48536625987,Match,"745 WILLIAMS ST, MOSSYROCK, WA, 98564",Census geocoder,CMS RHC Enrollments 2026-04-01
LEWIS COUNTY HOSPITAL DISTRICT NO 1,LEWIS COUNTY HOSPITAL DISTRICT NO 1,ARBOR HEALTH PACKWOOD CLINIC,O20230302000668,1497466494,508597,13051 US HIGHWAY 12,STE 2,PACKWOOD,Lewis,Western/other WA,98361,3604965112,46.608298628432,-121.670059008661,Match,"13051 US HWY 12, PACKWOOD, WA, 98361",Census geocoder,CMS RHC Enrollments 2026-04-01
